name,country_id
BEYCE MENSUCATAS,50
BIANCHI FLLI SRL,27
BIANCHINI SRL,27
BIANCHINI&CAPPONI - B & C SRL,27
BIANCO SRL,27
BIBA SALOTTI SRL,27
BIEFBI CUCINE,27
BIESSE,27
BIKE 24,20
BILLIANI SRL,27
BILOTTA GIUSEPPE SRL,27
BIMAX,45
BISAZZA SPA,27
BISSON BRUNEEL,19
BITOSSI,27
BITOSSI CERAMICE SRL,27
BIZZARRIE SRL,27
BIZZOTTO SRL,27
BK ITALIA SPA,27
BL MOBILI SRL,27
BLACK CROW STUDIO,52
BLACK TIE SOFAS,27
BLANC DES VOSGES,19
BLANCH,45
BLASCO&VILA,45
BLENDWORTH LTD,16
BLEU PROVENCE SRL,27
BLINDATO EFFEPI SRL,27
BLOB SRL,27
BLOMUS,20
BLOOMINGVILLE AS,15
BLUE SKY GLOBAL,23
BM STYLE,27
BMB ITALY SRL,27
BMP,27
BMT SRL,27
BOCA DO LOBO,41
BOCCI,20
BODEMA SRL,27
BODOR,36
BOETTO SRL,27
BOFFI BERLIN GMBH,20
BOFFI KOLN,20
BOFFI MUNCHEN,20
BOFFI STUDIO GUADAGNI,27
BOHEME DESIGN SL,45
BOHEMIA MACHINE (BOMMA),14
BOHLENDER GMBH,20
BOISIRIE ITALIA SRL,27
BOLTZE GRUPPE GMBH,20
BOLZAN LETTI SRL,27
BOMMA,14
BONALDO SPA,27
BONE SIMPLE,52
BONTEMPI CASA,27
BORDIGNON CAMILLO & C SNC,27
BORGO PITTI SRL,27
BORMIOLI LUIGI SPA,27
BOS1964 SL,45
BOSCA ARREDI,27
BOSCH I RIUS,45
BOSSINI SPA,27
BOTTEGA D ARTE ANTICA,27
BOTTEGA D'ARTE ANTICA,27
BOTTEGANOVE,27
BOVA,27
BOVER,45
BOVICTUS SA,15
BOX DOCCE 2B SPA,27
BPM LIGHTING,45
BRABBU,41
BRALCO SRL,27
BRAND VAN EGMOND,36
BRAND VAN EGMOND BV,36
BRANDONI SPA,27
BRASS & CRYSTAL,45
BREM SRL,27
BRENTAFLEX SNC,27
BRENTAPELLI SPA,27
BREVETTI SRL,27
BRG ILLUMINAZIONE DI BACCETTI&ROSSI SNC,27
BRIANFORM SRL,27
BRIGANTINO SRL LE PORCELLANE,27
BRIGHT CHAIR,52
BRINK & CAMPMAN BV,36
BRINTONS INDUSTRIA LDA,41
BROGIATO & C SAS,27
BROKIS SRO,14
"BRONCEART TORRENT, S.L.",45
BRONCES MESTRE S.A.,45
BRONZE D ART FRANCAIS,19
BRONZE D`ART FRANCAIS,19
BROSSIER SADERNE,19
BROWN SAFE LTD,52
BRU TEXTILES NV,3
BRUCS CASA SL,45
BRUMA SALOTTI SRL,27
BRUMBERG LEUCHTEN GMBH,20
BRUMMEL CUCINE SRL,27
BRUNELLI MOBILI SRL,27
BRUNELLO 1974 SRL,27
BRUNO PIOMBINI SPA,27
BRUNO SRL,27
BRUNO ZAMPA SRL,27
BRV BONETTI RUBINETTERIE VALDUGGIA SRL,27
BRV BONETTI RUBINETTERIE VALDUGGIA SRL,27
BS COLLECTION,27
BS COLLECTION SRL,27
BTC INTERNATIONAL SRL,27
BTR NETCOM GMBH,20
BUBOLA & NAIBO S.R.L.,27
BUBOLA & NAIBO SRL,27
BUCALOSSI NELLO ARREDA,27
BUGATTI,27
BULLBOAT,16
BULLBOAT UK LTD,16
BULTHAUPT MINIMUM EINRICHTER GMBH,20
BUNGEE SUPPLY,52
BURAGLIA SL,45
BURGBAD,20
BURGER KUCHENMOBEL GMBH,20
BUSATTO CLASSIC ITALIAN FURNITURE SRL,27
BUSETTO SRL,27
BUSNELLI ADAMO SRL,27
BUSNELLI SPA,27
BUSSANDRI OSCAR SRL,27
BUSTER AND PUNCH,16
BUZZI SPACE NV,3
BV JALS FUTURES SL,45
BYFLOU,15
BYRON&BYRON LTD,16
Baralan International Spa,27
Bedding Atelier,27
Bright Group,52
C&C di Campigli Remo,27
C&D FABRICS,45
C.BECHSTEIN CENTRUM BERLIN,20
CA D ORO SRL,27
CACCARO,27
CADORE,27
CALAMBOUR SRL,27
CALEIDO SRL,27
CALIA TRADE SPA,27
CALICO WALLPAPER INC,27
CALLIGARIS SPA,27
CALOI SRL,27
CALZEAT & CO LTD,20
CAMBIELLI EDIFRIULI SPA,27
CAMBIELLI SPA,27
CAMELGROUP,27
CAMPANI PACKAGING SRVICE SRL,27
CAMPBELL REY LTD,16
CAMUS COLLECTION,45
CANDELABRO SL,45
CANDIBAMBU ART LDA,41
CANE-LINE AS,15
CANETE,45
CANGINI & TUCCI SRL,27
CANTALUPPI SRL,27
CANTIERO SRL,27
CANTORI SPA,27
CAP DESIGN SPA,27
CAPACCIOLI SRL,27
CAPDELL MOBILIARIO,45
CAPITANI SRL,27
CAPO D OPERA SRL,27
CAPORALI ENZO,27
CAPPELLETTI SRL,27
CAPPELLINI INTAGLI SNC,27
CARABASSI,45
CARABOTA QUATRO SL,45
CARDIFF NV,3
CARLESSO SRL,27
CARLO ASNAGHI STYLE,27
CARLO NOBILI,27
CARLO POLETTI SRL,27
CARMENES,45
CARMENES,45
CARMENTA SRL,27
CARNABY SRL,27
CAROTI & CO. SRL,27
CAROTI SRL,27
CARPANELI,27
CARPANESE HOME,27
CARPI TESSILE SNC,27
CARPYEN SL,45
CARRARO SRL,27
CARRE FURNITURE SA,45
CARVERS' GUILD,52
CASA + 39,27
CASA D ARTE PAOLETTI SRL,27
